x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,7.92968750e-01,2.19530843e-01,5.78028659e-01,1.77539015e-02,0.00000000e+00,1.76895643e-01,1.30675480e-01,1.25307154e-01,0.00000000e+00,-1.22173591e-03,2.01001329e-02
3.90625000e-03,8.00781250e-01,2.20039133e-01,5.72583073e-01,1.58190355e-02,0.00000000e+00,1.75837200e-01,1.31435042e-01,1.21355083e-01,0.00000000e+00,-1.16704438e-03,1.96122596e-02
3.90625000e-03,8.08593750e-01,2.20906348e-01,5.69253274e-01,1.37433850e-02,0.00000000e+00,1.75152331e-01,1.31333997e-01,1.15842443e-01,0.00000000e+00,-1.02833066e-03,1.81140105e-02
3.90625000e-03,8.16406250e-01,2.22029876e-01,5.67489654e-01,1.18874102e-02,0.00000000e+00,1.74777482e-01,1.30421639e-01,1.08964000e-01,0.00000000e+00,-8.46688125e-04,1.59433145e-02
3.90625000e-03,8.24218750e-01,2.23300373e-01,5.66663749e-01,1.04395695e-02,0.00000000e+00,1.74633394e-01,1.28831889e-01,1.00974690e-01,0.00000000e+00,-6.72072357e-04,1.38646097e-02
3.90625000e-03,8.32031250e-01,2.24616446e-01,5.66148784e-01,9.46526340e-03,0.00000000e+00,1.74634810e-01,1.26740456e-01,9.21651546e-02,0.00000000e+00,-5.48365456e-04,1.21101334e-02
3.90625000e-03,8.39843750e-01,2.25890891e-01,5.65346498e-01,8.97056683e-03,0.00000000e+00,1.74695745e-01,1.24337150e-01,8.28422833e-02,0.00000000e+00,-5.02015098e-04,1.08202808e-02
3.90625000e-03,8.47656250e-01,2.27052449e-01,5.63693732e-01,8.95266411e-03,0.00000000e+00,1.74734795e-01,1.21808160e-01,7.33155753e-02,0.00000000e+00,-5.43781518e-04,1.01682563e-02
3.90625000e-03,8.55468750e-01,2.28048869e-01,5.60661536e-01,9.42734857e-03,0.00000000e+00,1.74679700e-01,1.19328603e-01,6.38867170e-02,0.00000000e+00,-6.68222381e-04,1.01149378e-02
3.90625000e-03,8.63281250e-01,2.28846144e-01,5.55758026e-01,1.04338341e-02,0.00000000e+00,1.74472582e-01,1.17059239e-01,5.48409880e-02,0.00000000e+00,-8.54900968e-04,1.03881531e-02
3.90625000e-03,8.71093750e-01,2.29430431e-01,5.48543320e-01,1.20205000e-02,0.00000000e+00,1.74076753e-01,1.15140125e-01,4.64385403e-02,0.00000000e+00,-1.07203823e-03,1.06342188e-02
3.90625000e-03,8.78906250e-01,2.29811800e-01,5.38654373e-01,1.42195935e-02,0.00000000e+00,1.73483631e-01,1.13678969e-01,3.89039480e-02,0.00000000e+00,-1.28160300e-03,1.05505664e-02
3.90625000e-03,8.86718750e-01,2.30026742e-01,5.25829403e-01,1.70198573e-02,0.00000000e+00,1.72717891e-01,1.12733132e-01,3.24141414e-02,0.00000000e+00,-1.44530597e-03,9.88746770e-03
3.90625000e-03,8.94531250e-01,2.30135303e-01,5.09914000e-01,2.03419272e-02,0.00000000e+00,1.71838822e-01,1.12281564e-01,2.70847752e-02,0.00000000e+00,-1.53365192e-03,8.16158004e-03
3.90625000e-03,9.02343750e-01,2.30212294e-01,4.90849936e-01,2.40034478e-02,0.00000000e+00,1.70931637e-01,1.12209977e-01,2.29497395e-02,0.00000000e+00,-1.54797161e-03,7.27632320e-03
3.90625000e-03,9.10156250e-01,2.30336206e-01,4.69148964e-01,2.77428090e-02,0.00000000e+00,1.70092627e-01,1.12514919e-01,1.99641338e-02,0.00000000e+00,-1.46292681e-03,6.36804359e-03
3.90625000e-03,9.17968750e-01,2.30600303e-01,4.45293513e-01,3.12830515e-02,0.00000000e+00,1.69432344e-01,1.13085740e-01,1.80244268e-02,0.00000000e+00,-1.26567183e-03,5.11770869e-03
3.90625000e-03,9.25781250e-01,2.31085652e-01,4.19734478e-01,3.43468628e-02,0.00000000e+00,1.69060936e-01,1.13689896e-01,1.69636554e-02,0.00000000e+00,-9.76007509e-04,3.98136437e-03
3.90625000e-03,9.33593750e-01,2.31851631e-01,3.92859262e-01,3.66954067e-02,0.00000000e+00,1.69075096e-01,1.14005633e-01,1.65560257e-02,0.00000000e+00,-6.22641420e-04,3.63961349e-03
3.90625000e-03,9.41406250e-01,2.32915809e-01,3.64901315e-01,3.81811435e-02,0.00000000e+00,1.69549306e-01,1.13602744e-01,1.65412994e-02,0.00000000e+00,-2.27266932e-04,4.34813763e-03
3.90625000e-03,9.49218750e-01,2.34248989e-01,3.35453053e-01,3.87668022e-02,0.00000000e+00,1.70546914e-01,1.11753345e-01,1.66593769e-02,0.00000000e+00,2.06123001e-04,5.77753035e-03
3.90625000e-03,9.57031250e-01,2.35744709e-01,3.03071304e-01,3.84874514e-02,0.00000000e+00,1.72123161e-01,1.07285629e-01,1.66869366e-02,0.00000000e+00,6.86946971e-04,7.56332104e-03
3.90625000e-03,9.64843750e-01,2.37201442e-01,2.65629122e-01,3.73810935e-02,0.00000000e+00,1.74278082e-01,9.88124602e-02,1.64709906e-02,0.00000000e+00,1.23425687e-03,1.03619070e-02
