i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
20,1,0.160156,0.0117188,1.00008,4.21322e-05,0,0,-0.00331014,2.58583e-05,-0.00362092,2.82861e-05,4.97981e-15,1.00008
21,1,0.167969,0.0117188,1.00007,3.58929e-05,0,0,-0.00288618,2.25467e-05,-0.00316175,2.46994e-05,8.30474e-15,1.00007
22,1,0.175781,0.0117188,1.00006,3.03655e-05,0,0,-0.00249771,1.95122e-05,-0.00274034,2.14076e-05,1.36791e-14,1.00006
23,1,0.183594,0.0117188,1.00005,2.55116e-05,0,0,-0.00214545,1.67605e-05,-0.00235757,1.84176e-05,2.22539e-14,1.00005
24,1,0.191406,0.0117188,1.00004,2.12854e-05,0,0,-0.00182923,1.42903e-05,-0.00201338,1.57288e-05,3.57576e-14,1.00004
25,1,0.199219,0.0117188,1.00004,1.7637e-05,0,0,-0.00154814,1.20944e-05,-0.00170686,1.33344e-05,5.67469e-14,1.00004
26,1,0.207031,0.0117188,1.00003,1.45134e-05,0,0,-0.00130063,1.01609e-05,-0.00143648,1.12221e-05,8.89459e-14,1.00003
27,1,0.214844,0.0117188,1.00002,1.18611e-05,0,0,-0.00108473,8.47427e-06,-0.00120016,9.376e-06,1.37694e-13,1.00002
28,1,0.222656,0.0117188,1.00002,9.62709e-06,0,0,-0.0008981,7.01627e-06,-0.000995474,7.77699e-06,2.10528e-13,1.00002
29,1,0.230469,0.0117188,1.00002,7.76044e-06,0,0,-0.000738203,5.76712e-06,-0.00081976,6.40428e-06,3.17911e-13,1.00002
30,1,0.238281,0.0117188,1.00001,6.21307e-06,0,0,-0.000602405,4.70623e-06,-0.000670225,5.23607e-06,4.74131e-13,1.00001
31,1,0.246094,0.0117188,1.00001,4.94038e-06,0,0,-0.000488064,3.81296e-06,-0.000544056,4.25039e-06,6.98372e-13,1.00001
32,1,0.253906,0.0117188,1.00001,3.90171e-06,0,0,-0.000392602,3.06718e-06,-0.000438496,3.42572e-06,1.01594e-12,1.00001
33,1,0.261719,0.0117188,1.00001,3.06052e-06,0,0,-0.000313565,2.44971e-06,-0.000350913,2.74149e-06,1.4596e-12,1.00001
34,1,0.269531,0.0117188,1,2.38446e-06,0,0,-0.000248665,1.94269e-06,-0.000278839,2.17842e-06,2.07103e-12,1
35,1,0.277344,0.0117188,1,1.84519e-06,0,0,-0.000195805,1.52972e-06,-0.00022001,1.71882e-06,2.90216e-12,1
36,1,0.285156,0.0117188,1,1.41827e-06,0,0,-0.000153097,1.19607e-06,-0.000172374,1.34667e-06,4.01635e-12,1
37,1,0.292969,0.0117188,1,1.0828e-06,0,0,-0.000118866,9.28635e-07,-0.000134108,1.04771e-06,5.48927e-12,1
38,1,0.300781,0.0117188,1,8.21135e-07,0,0,-9.1643e-05,7.1596e-07,-0.000103609,8.09447e-07,7.40911e-12,1
39,1,0.308594,0.0117188,1,6.18534e-07,0,0,-7.01631e-05,5.48148e-07,-7.94906e-05,6.2102e-07,9.876e-12,1
40,1,0.316406,0.0117188,1,4.62809e-07,0,0,-5.33449e-05,4.16757e-07,-6.0564e-05,4.73156e-07,1.30003e-11,1
41,1,0.324219,0.0117188,1,3.43982e-07,0,0,-4.02776e-05,3.14668e-07,-4.58252e-05,3.58009e-07,1.68998e-11,1
42,1,0.332031,0.0117188,1,2.53963e-07,0,0,-3.02015e-05,2.35949e-07,-3.44344e-05,2.69019e-07,2.16949e-11,1
43,1,0.339844,0.0117188,1,1.86256e-07,0,0,-2.24905e-05,1.75707e-07,-2.56975e-05,2.00762e-07,2.75028e-11,1
44,1,0.347656,0.0117188,1,1.35696e-07,0,0,-1.66334e-05,1.29949e-07,-1.90461e-05,1.48798e-07,3.44295e-11,1
45,1,0.355469,0.0117188,1,9.82062e-08,0,0,-1.22177e-05,9.54505e-08,-1.402e-05,1.09531e-07,4.25614e-11,1
46,1,0.363281,0.0117188,1,7.06053e-08,0,0,-8.91305e-06,6.96332e-08,-1.025e-05,8.00781e-08,5.19545e-11,1
47,1,0.371094,0.0117188,1,5.04273e-08,0,0,-6.4581e-06,5.04539e-08,-7.44291e-06,5.81478e-08,6.26248e-11,1
48,1,0.378906,0.0117188,1,3.57792e-08,0,0,-4.64763e-06,3.63096e-08,-5.36801e-06,4.19375e-08,7.45381e-11,1
49,1,0.386719,0.0117188,1,2.52196e-08,0,0,-3.32213e-06,2.59541e-08,-3.84541e-06,3.00422e-08,8.7601e-11,1
50,1,0.394531,0.0117188,1,1.76601e-08,0,0,-2.35867e-06,1.84271e-08,-2.73614e-06,2.13761e-08,1.01656e-10,1
51,1,0.402344,0.0117188,1,1.22858e-08,0,0,-1.66337e-06,1.29951e-08,-1.93379e-06,1.51077e-08,1.16476e-10,1
52,1,0.410156,0.0117188,1,8.49131e-09,0,0,-1.16518e-06,9.10294e-09,-1.35757e-06,1.0606e-08,1.31768e-10,1
53,1,0.417969,0.0117188,1,5.83068e-09,0,0,-8.10732e-07,6.33385e-09,-9.46674e-07,7.39589e-09,1.47179e-10,1
54,1,0.425781,0.0117188,1,3.9779e-09,0,0,-5.60331e-07,4.37759e-09,-6.55736e-07,5.12294e-09,1.62305e-10,1
55,1,0.433594,0.0117188,1,2.69659e-09,0,0,-3.84661e-07,3.00517e-09,-4.51172e-07,3.52478e-09,1.76708e-10,1
56,1,0.441406,0.0117188,1,1.81673e-09,0,0,-2.62256e-07,2.04888e-09,-3.0833e-07,2.40883e-09,1.89933e-10,1
57,1,0.449219,0.0117188,1,1.217e-09,0,0,-1.7752e-07,1.38687e-09,-2.09257e-07,1.63482e-09,2.01538e-10,1
