i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
115,0,0.902344,0.00390625,1.00003,2.34027e-05,0,3.52227e-05,-0.00133318,1.04151e-05,-0.00136825,1.06891e-05,-5.89696e-18,1.00003
116,0,0.910156,0.00390625,1.00003,2.02729e-05,0,3.13181e-05,-0.00119791,9.35837e-06,-0.00123187,9.6237e-06,-3.28401e-18,1.00003
117,0,0.917969,0.00390625,1.00003,1.75393e-05,0,2.76505e-05,-0.0010684,8.34667e-06,-0.00110127,8.6034e-06,-1.80247e-18,1.00003
118,0,0.925781,0.00390625,1.00002,1.51714e-05,0,2.42105e-05,-0.000944591,7.37943e-06,-0.000976381,7.62779e-06,-9.75242e-19,1.00002
119,0,0.933594,0.00390625,1.00002,1.3141e-05,0,2.09857e-05,-0.000826281,6.45518e-06,-0.000857051,6.69556e-06,-5.20254e-19,1.00002
120,0,0.941406,0.00390625,1.00002,1.14224e-05,0,1.79605e-05,-0.000713179,5.5716e-06,-0.000743004,5.8046e-06,-2.73682e-19,1.00002
121,0,0.949219,0.00390625,1.00002,9.99302e-06,0,1.51166e-05,-0.000604888,4.7256e-06,-0.000633865,4.95198e-06,-1.41992e-19,1.00002
122,0,0.957031,0.00390625,1.00002,8.83286e-06,0,1.24335e-05,-0.000500918,3.91335e-06,-0.000529167,4.13405e-06,-7.26655e-20,1.00002
123,0,0.964844,0.00390625,1.00002,7.9252e-06,0,9.8882e-06,-0.000400695,3.13038e-06,-0.000428355,3.34647e-06,-3.66844e-20,1.00002
124,0,0.972656,0.00390625,1.00001,7.25645e-06,0,7.45608e-06,-0.000303571,2.37162e-06,-0.000330799,2.58433e-06,-1.82713e-20,1.00001
125,0,0.980469,0.00390625,1.00001,6.81631e-06,0,5.11092e-06,-0.000208839,1.63153e-06,-0.000235806,1.84221e-06,-8.97906e-21,1.00001
126,0,0.988281,0.00390625,1.00001,6.59778e-06,0,2.8253e-06,-0.000115739,9.04202e-07,-0.000142627,1.11426e-06,-4.35411e-21,1.00001
127,0,0.996094,0.00390625,1.00001,6.59725e-06,0,5.70926e-07,-2.34795e-05,1.83431e-07,-5.04786e-05,3.94359e-07,-2.08356e-21,1.00001
0,1,0.00390625,0.0117188,1.00001,7.17485e-06,0,-2.84521e-06,0.000116184,9.07673e-07,8.81921e-05,6.88991e-07,1.34163e-20,1.00001
1,1,0.0117188,0.0117188,1.00001,8.0599e-06,0,-5.19823e-06,0.000211592,1.65304e-06,0.000182489,1.42568e-06,2.86429e-20,1.00001
2,1,0.0195312,0.0117188,1.00002,9.18507e-06,0,-7.63195e-06,0.000309397,2.41712e-06,0.000278998,2.17964e-06,6.04017e-20,1.00002
3,1,0.0273438,0.0117188,1.00002,1.05666e-05,0,-1.0175e-05,0.000410377,3.20602e-06,0.000378508,2.95704e-06,1.25814e-19,1.00002
4,1,0.0351562,0.0117188,1.00002,1.22238e-05,0,-1.28554e-05,0.000515274,4.02551e-06,0.000481772,3.76377e-06,2.58855e-19,1.00002
5,1,0.0429688,0.0117188,1.00002,1.41792e-05,0,-1.56996e-05,0.000624775,4.88096e-06,0.000589492,4.60532e-06,5.26053e-19,1.00002
6,1,0.0507812,0.0117188,1.00002,1.6458e-05,0,-1.87331e-05,0.000739499,5.77721e-06,0.000702309,5.48667e-06,1.05596e-18,1.00002
7,1,0.0585938,0.0117188,1.00002,1.90881e-05,0,-2.1979e-05,0.000859986,6.71848e-06,0.000820783,6.41221e-06,2.09367e-18,1.00002
8,1,0.0664062,0.0117188,1.00003,2.21e-05,0,-2.54587e-05,0.000986689,7.7083e-06,0.000945391,7.38567e-06,4.10027e-18,1.00003
9,1,0.0742188,0.0117188,1.00003,2.55264e-05,0,-2.91908e-05,0.00111996,8.7494e-06,0.00107651,8.40997e-06,7.93152e-18,1.00003
10,1,0.0820312,0.0117188,1.00003,2.94019e-05,0,-3.31909e-05,0.00126004,9.84371e-06,0.00121441,9.48724e-06,1.51544e-17,1.00003
11,1,0.0898438,0.0117188,1.00004,3.37631e-05,0,-3.74718e-05,0.00140706,1.09922e-05,0.00135925,1.06187e-05,2.85997e-17,1.00004
