step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
209,0.408203,0.00195312,0.0131791,0.0175161,0.0432825,0.000102376,0.000135856,0.000333233
210,0.410156,0.00195312,0.0131315,0.0174341,0.0430631,0.000102007,0.000135221,0.000331541
211,0.412109,0.00195312,0.0130839,0.0173526,0.0428453,0.000101639,0.000134591,0.000329862
212,0.414062,0.00195312,0.0130365,0.0172717,0.0426292,0.000101272,0.000133965,0.000328196
213,0.416016,0.00195312,0.0129891,0.0171913,0.0424148,0.000100905,0.000133344,0.000326543
214,0.417969,0.00195312,0.0129418,0.0171114,0.0422021,0.000100539,0.000132726,0.000324902
215,0.419922,0.00195312,0.0128946,0.0170321,0.041991,0.000100173,0.000132112,0.000323275
216,0.421875,0.00195312,0.0128475,0.0169533,0.0417815,9.98083e-05,0.000131503,0.00032166
217,0.423828,0.00195312,0.0128005,0.016875,0.0415736,9.94442e-05,0.000130897,0.000320057
218,0.425781,0.00195312,0.0127536,0.0167972,0.0413674,9.9081e-05,0.000130295,0.000318467
219,0.427734,0.00195312,0.0127068,0.0167199,0.0411628,9.87186e-05,0.000129697,0.00031689
220,0.429688,0.00195312,0.0126602,0.0166431,0.0409597,9.8357e-05,0.000129103,0.000315324
221,0.431641,0.00195312,0.0126136,0.0165668,0.0407582,9.79963e-05,0.000128513,0.000313771
222,0.433594,0.00195312,0.0125671,0.016491,0.0405583,9.76364e-05,0.000127926,0.000312229
223,0.435547,0.00195312,0.0125208,0.0164157,0.0403599,9.72775e-05,0.000127343,0.0003107
224,0.4375,0.00195312,0.0124746,0.0163408,0.040163,9.69196e-05,0.000126764,0.000309182
225,0.439453,0.00195312,0.0124286,0.0162664,0.0399676,9.65628e-05,0.000126188,0.000307677
226,0.441406,0.00195312,0.0123827,0.0161925,0.0397738,9.62069e-05,0.000125616,0.000306201
227,0.443359,0.00195312,0.0123369,0.0161191,0.0395816,9.5852e-05,0.000125048,0.000304744
228,0.445312,0.00195312,0.0122912,0.0160461,0.0393929,9.54981e-05,0.000124483,0.000303297
229,0.447266,0.00195312,0.0122457,0.0159735,0.0392056,9.51453e-05,0.000123921,0.000301862
230,0.449219,0.00195312,0.0122003,0.0159014,0.0390197,9.47935e-05,0.000123363,0.000300437
231,0.451172,0.00195312,0.0121551,0.0158298,0.0388353,9.4443e-05,0.000122809,0.000299023
232,0.453125,0.00195312,0.01211,0.0157586,0.0386523,9.40937e-05,0.000122258,0.000297619
233,0.455078,0.00195312,0.0120651,0.0156878,0.0384706,9.37456e-05,0.00012171,0.000296226
234,0.457031,0.00195312,0.0120203,0.0156174,0.0382904,9.33985e-05,0.000121165,0.000294842
235,0.458984,0.00195312,0.0119757,0.0155475,0.0381115,9.30526e-05,0.000120624,0.000293469
236,0.460938,0.00195312,0.0119312,0.015478,0.037934,9.27079e-05,0.000120086,0.000292106
237,0.462891,0.00195312,0.0118869,0.0154089,0.0377579,9.23645e-05,0.000119551,0.000290754
238,0.464844,0.00195312,0.0118428,0.0153403,0.037583,9.20223e-05,0.00011902,0.000289413
239,0.466797,0.00195312,0.0117988,0.015272,0.0374095,9.16814e-05,0.000118491,0.000288095
240,0.46875,0.00195312,0.011755,0.0152042,0.0372373,9.13417e-05,0.000117966,0.000286785
241,0.470703,0.00195312,0.0117114,0.0151368,0.0370663,9.10033e-05,0.000117444,0.000285485
242,0.472656,0.00195312,0.0116679,0.0150698,0.0368967,9.06661e-05,0.000116925,0.000284195
243,0.474609,0.00195312,0.0116245,0.0150031,0.0367283,9.03302e-05,0.000116409,0.000282914
244,0.476562,0.00195312,0.0115814,0.0149369,0.0365611,8.99954e-05,0.000115896,0.000281642
245,0.478516,0.00195312,0.0115384,0.014871,0.0363961,8.9662e-05,0.000115386,0.000280379
246,0.480469,0.00195312,0.0114955,0.0148056,0.0362335,8.93298e-05,0.000114879,0.000279125
247,0.482422,0.00195312,0.0114529,0.0147405,0.0360722,8.89991e-05,0.000114376,0.00027788
248,0.484375,0.00195312,0.0114104,0.0146758,0.0359119,8.86696e-05,0.000113875,0.000276643
249,0.486328,0.00195312,0.0113681,0.0146115,0.0357527,8.83413e-05,0.000113377,0.000275415
250,0.488281,0.00195312,0.0113259,0.0145476,0.0355947,8.80143e-05,0.000112881,0.000274196
251,0.490234,0.00195312,0.0112839,0.014484,0.0354378,8.76887e-05,0.000112389,0.000272985
252,0.492188,0.00195312,0.0112421,0.0144208,0.0352819,8.73644e-05,0.0001119,0.000271783
253,0.494141,0.00195312,0.0112004,0.014358,0.0351271,8.70412e-05,0.000111413,0.000270588
254,0.496094,0.00195312,0.0111589,0.0142955,0.0349733,8.67194e-05,0.000110929,0.000269402
255,0.498047,0.00195312,0.0111176,0.0142334,0.0348206,8.63989e-05,0.000110448,0.000268224
256,0.5,0.00195312,0.0110765,0.0141716,0.0346689,8.60798e-05,0.00010997,0.000267054
