step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
115,0.112305,0.000976562,0.0242537,0.0553992,0.230915,0.000186855,0.000425569,0.0017596,0.0243131,0.055618,0.240082,0.000187294,0.000427189,0.00182757
116,0.113281,0.000976562,0.0241566,0.0550047,0.228489,0.000186129,0.000422603,0.00174151,0.0242172,0.0552237,0.237528,0.000186577,0.000424224,0.00180803
117,0.114258,0.000976562,0.0240607,0.0546155,0.226135,0.000185412,0.000419675,0.00172344,0.0241225,0.0548347,0.234982,0.000185869,0.000421299,0.00178856
118,0.115234,0.000976562,0.023966,0.0542315,0.223783,0.000184703,0.000416786,0.00170676,0.0240289,0.054451,0.232444,0.000185168,0.000418411,0.00177078
119,0.116211,0.000976562,0.0238724,0.0538526,0.221536,0.000184003,0.000413934,0.00169032,0.0239366,0.0540724,0.229925,0.000184477,0.000415562,0.00175343
120,0.117188,0.000976562,0.0237801,0.0534788,0.219398,0.000183312,0.000411118,0.00167388,0.0238455,0.0536989,0.227665,0.000183796,0.000412748,0.00173609
121,0.118164,0.000976562,0.0236889,0.0531098,0.21726,0.000182629,0.000408339,0.00165744,0.0237556,0.0533302,0.225407,0.000183122,0.000409971,0.00171878
122,0.119141,0.000976562,0.0235988,0.0527457,0.215121,0.000181954,0.000405594,0.0016411,0.0236667,0.0529663,0.223152,0.000182457,0.000407229,0.0017015
123,0.120117,0.000976562,0.0235099,0.0523862,0.212984,0.000181288,0.000402884,0.00162528,0.023579,0.0526072,0.220902,0.000181799,0.000404522,0.00168425
124,0.121094,0.000976562,0.0234221,0.0520313,0.21085,0.000180629,0.000400208,0.00160946,0.0234923,0.0522526,0.218656,0.000181149,0.000401848,0.00166705
125,0.12207,0.000976562,0.0233353,0.051681,0.208745,0.000179979,0.000397564,0.00159365,0.0234067,0.0519026,0.216416,0.000180507,0.000399207,0.00165015
126,0.123047,0.000976562,0.0232497,0.0513351,0.206689,0.000179336,0.000394954,0.00157785,0.0233221,0.051557,0.214183,0.000179873,0.000396599,0.001634
127,0.124023,0.000976562,0.0231651,0.0509934,0.204636,0.000178702,0.000392374,0.0015627,0.0232386,0.0512157,0.211958,0.000179246,0.000394023,0.00161788
128,0.125,0.000976562,0.0230816,0.0506561,0.202593,0.000178074,0.000389826,0.00154833,0.0231561,0.0508787,0.209772,0.000178627,0.000391477,0.0016018
129,0.125977,0.000976562,0.0229991,0.0503229,0.200725,0.000177455,0.000387309,0.00153395,0.0230747,0.0505458,0.20773,0.000178015,0.000388963,0.00158642
130,0.126953,0.000976562,0.0229176,0.0499938,0.198857,0.000176843,0.000384821,0.00151958,0.0229942,0.0502171,0.205743,0.000177411,0.000386478,0.00157117
131,0.12793,0.000976562,0.0228372,0.0496686,0.196989,0.000176238,0.000382363,0.0015052,0.0229148,0.0498923,0.20376,0.000176814,0.000384023,0.00155595
132,0.128906,0.000976562,0.0227577,0.0493474,0.195122,0.000175641,0.000379934,0.00149119,0.0228363,0.0495715,0.20178,0.000176223,0.000381597,0.00154076
133,0.129883,0.000976562,0.0226793,0.0490301,0.193257,0.000175051,0.000377533,0.00147731,0.0227587,0.0492545,0.199805,0.00017564,0.000379199,0.00152605
134,0.130859,0.000976562,0.0226018,0.0487165,0.191395,0.000174468,0.00037516,0.00146344,0.0226822,0.0489413,0.197835,0.000175065,0.000376829,0.00151173
135,0.131836,0.000976562,0.0225252,0.0484067,0.189587,0.000173892,0.000372815,0.00144958,0.0226066,0.0486319,0.195871,0.000174496,0.000374486,0.00149744
136,0.132812,0.000976562,0.0224496,0.0481005,0.187788,0.000173323,0.000370496,0.00143574,0.0225319,0.0483261,0.193967,0.000173933,0.00037217,0.00148317
137,0.133789,0.000976562,0.022375,0.0477979,0.185991,0.000172761,0.000368203,0.0014226,0.0224581,0.0480239,0.192114,0.000173378,0.000369881,0.00146893
138,0.134766,0.000976562,0.0223012,0.0474987,0.184215,0.000172205,0.000365937,0.00140998,0.0223852,0.0477252,0.190265,0.000172828,0.000367618,0.00145474
139,0.135742,0.000976562,0.0222283,0.0472031,0.182578,0.000171656,0.000363696,0.00139737,0.0223131,0.0474299,0.188422,0.000172285,0.00036538,0.00144059
140,0.136719,0.000976562,0.0221564,0.0469109,0.180941,0.000171113,0.00036148,0.00138476,0.0222418,0.0471381,0.186593,0.000171748,0.000363168,0.00142691
141,0.137695,0.000976562,0.0220852,0.046622,0.179306,0.000170577,0.000359289,0.00137216,0.0221714,0.0468496,0.184849,0.000171217,0.00036098,0.00141375
142,0.138672,0.000976562,0.022015,0.0463363,0.177672,0.000170047,0.000357122,0.00135988,0.0221019,0.0465644,0.183109,0.000170693,0.000358816,0.00140104
143,0.139648,0.000976562,0.0219456,0.046054,0.176041,0.000169524,0.000354979,0.00134768,0.0220331,0.0462825,0.181373,0.000170174,0.000356676,0.00138835
144,0.140625,0.000976562,0.021877,0.0457747,0.174412,0.000169006,0.00035286,0.00133549,0.0219652,0.0460037,0.17967,0.000169661,0.00035456,0.00137568
145,0.141602,0.000976562,0.0218093,0.0454987,0.172824,0.000168495,0.000350763,0.00132332,0.021898,0.0457281,0.178026,0.000169154,0.000352468,0.00136304
146,0.142578,0.000976562,0.0217423,0.0452257,0.171247,0.000167989,0.00034869,0.00131117,0.0218316,0.0454555,0.176386,0.000168653,0.000350397,0.00135043
147,0.143555,0.000976562,0.0216762,0.0449557,0.169673,0.000167489,0.000346639,0.00129924,0.0217659,0.045186,0.174751,0.000168157,0.00034835,0.00133787
148,0.144531,0.000976562,0.0216108,0.0446887,0.168102,0.000166995,0.00034461,0.00128815,0.021701,0.0449195,0.173122,0.000167666,0.000346325,0.00132534
149,0.145508,0.000976562,0.0215462,0.0444247,0.166623,0.000166507,0.000342603,0.00127707,0.0216369,0.0446559,0.171498,0.000167181,0.000344321,0.00131287
150,0.146484,0.000976562,0.0214823,0.0441635,0.165188,0.000166024,0.000340617,0.001266,0.0215734,0.0443952,0.16988,0.000166702,0.000342339,0.00130044
151,0.147461,0.000976562,0.0214192,0.0439052,0.163754,0.000165546,0.000338652,0.00125495,0.0215106,0.0441374,0.168269,0.000166227,0.000340378,0.00128917
152,0.148438,0.000976562,0.0213568,0.0436498,0.162322,0.000165074,0.000336709,0.00124399,0.0214486,0.0438824,0.166716,0.000165758,0.000338438,0.00127792
153,0.149414,0.000976562,0.0212951,0.043397,0.160893,0.000164607,0.000334786,0.00123326,0.0213872,0.0436302,0.16523,0.000165293,0.000336518,0.0012667
154,0.150391,0.000976562,0.0212341,0.0431471,0.159467,0.000164146,0.000332883,0.00122255,0.0213265,0.0433807,0.163776,0.000164834,0.000334619,0.0012555
155,0.151367,0.000976562,0.0211738,0.0428998,0.158051,0.000163689,0.000331,0.00121186,0.0212665,0.0431338,0.162325,0.00016438,0.00033274,0.00124434
156,0.152344,0.000976562,0.0211141,0.0426551,0.156667,0.000163237,0.000329137,0.00120119,0.0212071,0.0428897,0.160879,0.00016393,0.000330881,0.00123321
157,0.15332,0.000976562,0.0210551,0.0424131,0.155287,0.000162791,0.000327293,0.00119055,0.0211483,0.0426481,0.159438,0.000163485,0.000329041,0.00122212
158,0.154297,0.000976562,0.0209968,0.0421736,0.15391,0.000162349,0.000325469,0.00118017,0.0210902,0.0424092,0.158002,0.000163045,0.00032722,0.00121107
159,0.155273,0.000976562,0.0209391,0.0419367,0.152538,0.000161911,0.000323663,0.00117044,0.0210327,0.0421728,0.156572,0.000162609,0.000325419,0.00120008
160,0.15625,0.000976562,0.0208821,0.0417023,0.151247,0.000161479,0.000321876,0.00116072,0.0209758,0.0419389,0.155148,0.000162178,0.000323636,0.00118913
161,0.157227,0.000976562,0.0208257,0.0414704,0.149989,0.000161051,0.000320108,0.00115101,0.0209196,0.0417074,0.153732,0.000161752,0.000321871,0.00117878
