step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
151,0.147461,0.000976562,0.0217485,0.0446076,0.168604,0.000168036,0.000343964,0.0012921,0.0218347,0.0448452,0.17272,0.000168677,0.000345727,0.00132328
152,0.148438,0.000976562,0.0216873,0.0443529,0.167093,0.000167573,0.000342027,0.00128045,0.0217739,0.044591,0.171141,0.000168218,0.000343794,0.00131113
153,0.149414,0.000976562,0.0216267,0.0441009,0.165584,0.000167115,0.00034011,0.00126927,0.0217138,0.0443396,0.169566,0.000167763,0.000341881,0.00129901
154,0.150391,0.000976562,0.0215668,0.0438517,0.164078,0.000166662,0.000338214,0.00125868,0.0216543,0.0440908,0.167995,0.000167313,0.000339988,0.00128716
155,0.151367,0.000976562,0.0215076,0.0436051,0.162701,0.000166214,0.000336337,0.00124808,0.0215954,0.0438447,0.166467,0.000166868,0.000338115,0.00127627
156,0.152344,0.000976562,0.021449,0.0433612,0.161328,0.000165771,0.00033448,0.00123754,0.0215373,0.0436013,0.164985,0.000166428,0.000336262,0.00126539
157,0.15332,0.000976562,0.0213911,0.0431198,0.159956,0.000165333,0.000332642,0.00122723,0.0214797,0.0433605,0.163526,0.000165993,0.000334428,0.00125451
158,0.154297,0.000976562,0.0213338,0.042881,0.158584,0.000164899,0.000330823,0.00121692,0.0214227,0.0431222,0.162117,0.000165562,0.000332613,0.00124365
159,0.155273,0.000976562,0.0212771,0.0426448,0.157229,0.00016447,0.000329023,0.00120662,0.0213664,0.0428864,0.160709,0.000165135,0.000330817,0.0012328
160,0.15625,0.000976562,0.0212211,0.042411,0.155895,0.000164045,0.000327242,0.00119632,0.0213107,0.0426532,0.159305,0.000164713,0.00032904,0.00122198
161,0.157227,0.000976562,0.0211656,0.0421797,0.154562,0.000163625,0.000325479,0.00118603,0.0212555,0.0424224,0.157904,0.000164296,0.00032728,0.00121118
