x,rho,u,v,w,p,Bx,By,Bz
-1.9375000000e-01,9.6906384701e-01,8.2386500191e-03,-5.5327068408e-02,0.0000000000e+00,9.3771446156e-01,7.1752759758e-01,9.8470812422e-01,0.0000000000e+00
-1.9125000000e-01,9.6575387617e-01,1.3948358794e-02,-5.5515810769e-02,0.0000000000e+00,9.3143542636e-01,7.1634937432e-01,9.8132362984e-01,0.0000000000e+00
-1.8875000000e-01,9.6216737947e-01,2.0221717595e-02,-5.5818109516e-02,0.0000000000e+00,9.2465209323e-01,7.1520436017e-01,9.7757434171e-01,0.0000000000e+00
-1.8625000000e-01,9.5830469416e-01,2.7060747874e-02,-5.6238175508e-02,0.0000000000e+00,9.1737099873e-01,7.1409368511e-01,9.7345977554e-01,0.0000000000e+00
-1.8375000000e-01,9.5416924415e-01,3.4461992983e-02,-5.6778966378e-02,0.0000000000e+00,9.0960491087e-01,7.1301844525e-01,9.6898319430e-01,0.0000000000e+00
-1.8125000000e-01,9.4976720553e-01,4.2417076871e-02,-5.7442311610e-02,0.0000000000e+00,9.0137206086e-01,7.1197970172e-01,9.6415121573e-01,0.0000000000e+00
-1.7875000000e-01,9.4510712566e-01,5.0913363333e-02,-5.8229063509e-02,0.0000000000e+00,8.9269526540e-01,7.1097847963e-01,9.5897334520e-01,0.0000000000e+00
-1.7625000000e-01,9.4019950130e-01,5.9934667965e-02,-5.9139260178e-02,0.0000000000e+00,8.8360099951e-01,7.1001576708e-01,9.5346147313e-01,0.0000000000e+00
-1.7375000000e-01,9.3505636532e-01,6.9461978542e-02,-6.0172291266e-02,0.0000000000e+00,8.7411847749e-01,7.0909251413e-01,9.4762936670e-01,0.0000000000e+00
-1.7125000000e-01,9.2969087859e-01,7.9474148033e-02,-6.1327057357e-02,0.0000000000e+00,8.6427878331e-01,7.0820963193e-01,9.4149218155e-01,0.0000000000e+00
-1.6875000000e-01,9.2411696389e-01,8.9948533864e-02,-6.2602117166e-02,0.0000000000e+00,8.5411408254e-01,7.0736799178e-01,9.3506601161e-01,0.0000000000e+00
-1.6625000000e-01,9.1834897620e-01,1.0086156634e-01,-6.3995818202e-02,0.0000000000e+00,8.4365693422e-01,7.0656842428e-01,9.2836748941e-01,0.0000000000e+00
-1.6375000000e-01,9.1240142183e-01,1.1218923698e-01,-6.5506408870e-02,0.0000000000e+00,8.3293971199e-01,7.0581171850e-01,9.2141344319e-01,0.0000000000e+00
-1.6125000000e-01,9.0628872785e-01,1.2390750413e-01,-6.7132131221e-02,0.0000000000e+00,8.2199413515e-01,7.0509862121e-01,9.1422061269e-01,0.0000000000e+00
-1.5875000000e-01,9.0002505625e-01,1.3599261808e-01,-6.8871294897e-02,0.0000000000e+00,8.1085090423e-01,7.0442983617e-01,9.0680542195e-01,0.0000000000e+00
-1.5625000000e-01,8.9362416340e-01,1.4842137131e-01,-7.0722333471e-02,0.0000000000e+00,7.9953943196e-01,7.0380602337e-01,8.9918380517e-01,0.0000000000e+00
-1.5375000000e-01,8.8709929841e-01,1.6117128133e-01,-7.2683844886e-02,0.0000000000e+00,7.8808765820e-01,7.0322779846e-01,8.9137108005e-01,0.0000000000e+00
-1.5125000000e-01,8.8046313562e-01,1.7422071471e-01,-7.4754617912e-02,0.0000000000e+00,7.7652193641e-01,7.0269573206e-01,8.8338186270e-01,0.0000000000e+00
-1.4875000000e-01,8.7372773550e-01,1.8754896086e-01,-7.6933646519e-02,0.0000000000e+00,7.6486697962e-01,7.0221034926e-01,8.7523001770e-01,0.0000000000e+00
-1.4625000000e-01,8.6690452979e-01,2.0113626375e-01,-7.9220133947e-02,0.0000000000e+00,7.5314585446e-01,7.0177212908e-01,8.6692863767e-01,0.0000000000e+00
-1.4375000000e-01,8.6000432615e-01,2.1496381879e-01,-8.1613488030e-02,0.0000000000e+00,7.4138001314e-01,7.0138150398e-01,8.5849004688e-01,0.0000000000e+00
-1.4125000000e-01,8.5303732830e-01,2.2901374143e-01,-8.4113309093e-02,0.0000000000e+00,7.2958935467e-01,7.0103885947e-01,8.4992582439e-01,0.0000000000e+00
-1.3875000000e-01,8.4601316865e-01,2.4326901246e-01,-8.6719371376e-02,0.0000000000e+00,7.1779230810e-01,7.0074453369e-01,8.4124684302e-01,0.0000000000e+00
-1.3625000000e-01,8.3894095078e-01,2.5771340423e-01,-8.9431598695e-02,0.0000000000e+00,7.0600593190e-01,7.0049881711e-01,8.3246332099e-01,0.0000000000e+00
-1.3375000000e-01,8.3182929997e-01,2.7233139065e-01,-9.2250034669e-02,0.0000000000e+00,6.9424602512e-01,7.0030195223e-01,8.2358488421e-01,0.0000000000e+00
-1.3125000000e-01,8.2468642031e-01,2.8710804301e-01,-9.5174807539e-02,0.0000000000e+00,6.8252724702e-01,7.0015413331e-01,8.1462063767e-01,0.0000000000e+00
-1.2875000000e-01,8.1752015783e-01,3.0202891226e-01,-9.8206089241e-02,0.0000000000e+00,6.7086324300e-01,7.0005550625e-01,8.0557924518e-01,0.0000000000e+00
-1.2625000000e-01,8.1033806926e-01,3.1707989779e-01,-1.0134404801e-01,0.0000000000e+00,6.5926677578e-01,7.0000616838e-01,7.9646901746e-01,0.0000000000e+00
