step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
273,0.150416,0.000130469,10303,0,0.0431212,4.59521e-13,4.59521e-13,1717.74
274,0.150544,0.000127626,10302,0,0.0429595,4.57412e-13,4.57412e-13,1733.2
275,0.150669,0.000124996,10313,0,0.0425378,4.5545e-13,4.5545e-13,1743.96
276,0.15079,0.000121822,10328,0,0.0426971,4.536e-13,4.536e-13,1752.15
277,0.150909,0.000118778,10339,0,0.042861,4.51861e-13,4.51861e-13,1755.28
278,0.151025,0.00011601,10344,0,0.0427622,4.50195e-13,4.50195e-13,1752.72
279,0.151139,0.000113481,10350,0,0.0429149,4.48641e-13,4.48641e-13,1746.49
280,0.15125,0.000111157,10355,0,0.0424396,4.47235e-13,4.47235e-13,1739.34
281,0.151358,0.000108522,10356,0,0.042712,4.45903e-13,4.45903e-13,1733.4
282,0.151464,0.00010546,10374,0,0.0428145,4.44311e-13,4.44311e-13,1728.07
283,0.151566,0.000102517,10381,0,0.0425299,4.42831e-13,4.42831e-13,1731.73
284,0.151666,9.96974e-05,10377,0,0.0421663,4.41462e-13,4.41462e-13,1756.93
285,0.151763,9.70012e-05,10392,0,0.0430174,4.40277e-13,4.40277e-13,1777.19
286,0.151857,9.44358e-05,10402,0,0.0425438,4.3913e-13,4.3913e-13,1791.84
287,0.151949,9.19948e-05,10407,0,0.0425668,4.38131e-13,4.38131e-13,1807.24
288,0.152039,8.96702e-05,10413,0,0.0421774,4.37169e-13,4.37169e-13,1834.57
289,0.152127,8.74542e-05,10420,0,0.042722,4.36281e-13,4.36281e-13,1860.82
290,0.152212,8.5344e-05,10428,0,0.0423951,4.35392e-13,4.35392e-13,1886.05
291,0.152295,8.33378e-05,10442,0,0.0423948,4.34615e-13,4.34615e-13,1910.27
292,0.152377,8.14337e-05,10446,0,0.0422875,4.33875e-13,4.33875e-13,1933.49
293,0.152456,7.95627e-05,10460,0,0.0426753,4.33135e-13,4.33135e-13,1977.47
294,0.152534,7.77164e-05,10464,0,0.0424701,4.32469e-13,4.32469e-13,2027.29
295,0.15261,7.59813e-05,10467,0,0.0416522,4.31803e-13,4.31803e-13,2071.2
296,0.152684,7.4344e-05,10468,0,0.0418887,4.31211e-13,4.31211e-13,2108.65
297,0.152757,7.27926e-05,10473,0,0.0419499,4.30581e-13,4.30581e-13,2138.94
298,0.152828,7.07675e-05,10483,0,0.0423971,4.30026e-13,4.30026e-13,2162.71
299,0.152897,6.90064e-05,10498,0,0.042084,4.29508e-13,4.29508e-13,2176.79
300,0.152964,6.74101e-05,10497,0,0.0419629,4.28953e-13,4.28953e-13,2180.72
301,0.15303,6.5993e-05,10507,0,0.0419509,4.28435e-13,4.28435e-13,2209.15
302,0.153095,6.47101e-05,10510,0,0.0420178,4.27917e-13,4.27917e-13,2239.98
303,0.153159,6.3533e-05,10502,0,0.0410971,4.27288e-13,4.27288e-13,2253.75
304,0.153221,6.24785e-05,10511,0,0.0414683,4.26733e-13,4.26733e-13,2275.97
305,0.153283,6.152e-05,10520,0,0.0412022,4.26178e-13,4.26178e-13,2305.28
306,0.153343,6.06358e-05,10519,0,0.040533,4.2566e-13,4.2566e-13,2332.62
307,0.153403,5.98096e-05,10523,0,0.0411161,4.25141e-13,4.25141e-13,2358.04
308,0.153462,5.90305e-05,10531,0,0.041543,4.24623e-13,4.24623e-13,2381.53
309,0.15352,5.82908e-05,10541,0,0.0413612,4.24142e-13,4.24142e-13,2403.08
310,0.153578,5.75868e-05,10544,0,0.0413722,4.23661e-13,4.23661e-13,2439.43
311,0.153635,5.6917e-05,10547,0,0.041426,4.23254e-13,4.23254e-13,2505.25
312,0.153691,5.63037e-05,10558,0,0.0414651,4.2281e-13,4.2281e-13,2560.91
313,0.153747,5.57482e-05,10568,0,0.0414104,4.22403e-13,4.22403e-13,2607.12
314,0.153802,5.52534e-05,10566,0,0.0412626,4.21959e-13,4.21959e-13,2655.21
315,0.153857,5.48256e-05,10562,0,0.0412047,4.21515e-13,4.21515e-13,2713.79
