step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
253,0.0349616,2.29524e-05,984,0,0.082086,3.46612e-13,3.46612e-13,7387.12
254,0.0349865,2.49095e-05,992,0,0.0874032,3.45723e-13,3.45723e-13,7397.43
255,0.0350113,2.47568e-05,993,0,0.0867715,3.44909e-13,3.44909e-13,7407.32
256,0.035036,2.47461e-05,990,0,0.0840366,3.44169e-13,3.44169e-13,7402.64
257,0.035061,2.4973e-05,981,0,0.0787948,3.43429e-13,3.43429e-13,7385.32
258,0.0350851,2.40779e-05,987,0,0.082246,3.42911e-13,3.42911e-13,7251.89
259,0.035108,2.29097e-05,988,0,0.0796884,3.42245e-13,3.42245e-13,7072.72
260,0.0351293,2.13723e-05,984,0,0.0766271,3.41727e-13,3.41727e-13,6888.53
261,0.0351495,2.01221e-05,988,0,0.0785478,3.41061e-13,3.41061e-13,6938.28
262,0.0351685,1.90444e-05,986,0,0.0807658,3.40468e-13,3.40468e-13,7068.93
263,0.0351871,1.86111e-05,988,0,0.0783656,3.3995e-13,3.3995e-13,7168.41
264,0.0352053,1.81575e-05,984,0,0.0784447,3.39654e-13,3.39654e-13,7268.11
265,0.035223,1.76875e-05,993,0,0.0834005,3.39432e-13,3.39432e-13,7348.57
266,0.0352402,1.72199e-05,989,0,0.0759807,3.38988e-13,3.38988e-13,7441.82
267,0.0352569,1.67638e-05,995,0,0.0761321,3.3847e-13,3.3847e-13,7513.68
268,0.0352733,1.63198e-05,993,0,0.0740214,3.38174e-13,3.38174e-13,7664.34
269,0.0352892,1.58896e-05,999,0,0.0761156,3.3773e-13,3.3773e-13,7800.92
270,0.0353046,1.54746e-05,991,0,0.0737102,3.37286e-13,3.54235e-13,7924.92
271,0.0353197,1.50748e-05,995,0,0.0737221,3.53495e-13,3.53495e-13,8038.43
272,0.0353344,1.46924e-05,1001,0,0.0771666,3.52755e-13,3.52755e-13,8140.45
273,0.0353487,1.43252e-05,999,0,0.0731758,3.52163e-13,3.52163e-13,8231.16
274,0.0353627,1.3975e-05,1003,0,0.0729778,3.51719e-13,3.51719e-13,8312.26
275,0.0353763,1.36411e-05,1001,0,0.0722678,3.51275e-13,3.51275e-13,8382.21
276,0.0353897,1.3324e-05,1007,0,0.0737679,3.5083e-13,3.5083e-13,8441.53
277,0.0354027,1.30224e-05,1003,0,0.0691254,3.50386e-13,3.50386e-13,8490.25
278,0.0354154,1.27351e-05,1003,0,0.0659385,3.49942e-13,3.49942e-13,8529.71
279,0.0354279,1.24679e-05,1007,0,0.0705238,3.4935e-13,3.4935e-13,8560.37
280,0.0354401,1.22219e-05,1011,0,0.0705722,3.48906e-13,3.48906e-13,8582.5
281,0.0354521,1.19857e-05,1017,0,0.0760689,3.48314e-13,3.48314e-13,8598.99
282,0.0354639,1.17635e-05,1023,0,0.0731297,3.4787e-13,3.4787e-13,8659.31
283,0.0354754,1.15557e-05,1023,0,0.0734089,3.47426e-13,3.47426e-13,8727.48
284,0.0354868,1.13577e-05,1023,0,0.0730893,3.46982e-13,3.46982e-13,8786.18
285,0.0354979,1.11458e-05,1023,0,0.0741162,3.46686e-13,3.46686e-13,8838.35
286,0.0355089,1.09418e-05,1022,0,0.0734836,3.46094e-13,3.46094e-13,8909.86
287,0.0355196,1.07528e-05,1020,0,0.0731676,3.45649e-13,3.45649e-13,9021.73
288,0.0355302,1.05673e-05,1026,0,0.0742254,3.45501e-13,3.45501e-13,9134.25
289,0.0355406,1.03898e-05,1026,0,0.0720877,3.45057e-13,3.45057e-13,9227.73
290,0.0355508,1.02246e-05,1034,0,0.0723142,3.44909e-13,3.44909e-13,9307.4
291,0.0355609,1.00735e-05,1034,0,0.0727807,3.44465e-13,3.44465e-13,9384.07
292,0.0355708,9.93506e-06,1036,0,0.0758888,3.44169e-13,3.44169e-13,9416.4
293,0.0355806,9.80822e-06,1038,0,0.074768,3.43873e-13,3.43873e-13,9478.13
294,0.0355903,9.70488e-06,1039,0,0.0725745,3.43725e-13,3.43725e-13,9529.63
295,0.0356,9.69144e-06,1040,0,0.0709431,3.43429e-13,3.43429e-13,9578.38
296,0.0356096,9.59879e-06,1043,0,0.0751496,3.43281e-13,3.43281e-13,9619.83
297,0.0356192,9.58905e-06,1037,0,0.0716754,3.43133e-13,3.43133e-13,9649.83
298,0.0356288,9.56928e-06,1035,0,0.0713635,3.42689e-13,3.42689e-13,9664.89
299,0.0356383,9.5405e-06,1041,0,0.0765454,3.42393e-13,3.42393e-13,9673.82
300,0.0356477,9.4418e-06,1041,0,0.0775677,3.42245e-13,3.42245e-13,9632.01
301,0.0356572,9.41499e-06,1043,0,0.0792954,3.41949e-13,3.41949e-13,9716
